iter	Passed	Remaining
0	83	82968
1	115	57386
2	142	47426
3	173	43300
4	204	40705
5	238	39457
6	267	38008
7	296	36748
8	325	35822
9	353	34997
10	382	34374
11	412	33969
12	441	33499
13	471	33198
14	500	32843
15	528	32525
16	557	32257
17	586	31986
18	614	31711
19	643	31526
20	672	31361
21	703	31252
22	732	31113
23	762	30992
24	791	30866
25	821	30759
26	851	30680
27	882	30626
28	913	30571
29	945	30565
30	977	30546
31	1008	30505
32	1037	30399
33	1067	30338
34	1097	30269
35	1128	30214
36	1159	30186
37	1188	30099
38	1218	30033
39	1249	29993
40	1278	29907
41	1309	29864
42	1340	29826
43	1369	29758
44	1401	29738
45	1431	29683
46	1461	29641
47	1491	29591
48	1520	29514
49	1549	29438
50	1578	29365
51	1605	29276
52	1634	29199
53	1662	29123
54	1691	29061
55	1719	28991
56	1741	28802
57	1768	28730
58	1796	28652
59	1824	28590
60	1854	28544
61	1883	28488
62	1912	28449
63	1941	28401
64	1970	28350
65	2000	28316
66	2029	28267
67	2058	28218
68	2087	28167
69	2114	28098
70	2142	28034
71	2170	27974
72	2197	27904
73	2224	27834
74	2254	27799
75	2284	27772
76	2343	28090
77	2372	28049
78	2400	27990
79	2428	27933
80	2465	27967
81	2498	27974
82	2528	27937
83	2556	27876
84	2584	27818
85	2612	27760
86	2641	27723
87	2671	27683
88	2699	27634
89	2729	27596
90	2757	27547
91	2785	27496
92	2815	27459
93	2845	27427
94	2875	27390
95	2904	27346
96	2931	27287
97	2960	27244
98	2987	27192
99	3015	27143
100	3044	27100
101	3074	27071
102	3103	27027
103	3133	26993
104	3163	26969
105	3191	26919
106	3213	26820
107	3242	26777
108	3269	26728
109	3297	26680
110	3327	26653
111	3357	26619
112	3384	26570
113	3411	26517
114	3426	26368
115	3453	26320
116	3481	26278
117	3511	26245
118	3539	26202
119	3568	26166
120	3596	26128
121	3625	26088
122	3654	26058
123	3675	25963
124	3703	25922
125	3730	25877
126	3758	25834
127	3785	25790
128	3814	25753
129	3842	25712
130	3872	25686
131	3900	25646
132	3927	25602
133	3955	25562
134	3984	25532
135	4014	25504
136	4041	25461
137	4072	25441
138	4101	25408
139	4130	25372
140	4157	25330
141	4186	25296
142	4214	25259
143	4242	25218
144	4269	25177
145	4298	25144
146	4326	25106
147	4354	25069
148	4385	25046
149	4413	25011
150	4441	24971
151	4471	24945
152	4499	24907
153	4527	24874
154	4556	24840
155	4584	24803
156	4614	24775
157	4644	24748
158	4672	24712
159	4699	24674
160	4728	24639
161	4750	24571
162	4779	24542
163	4808	24509
164	4836	24475
165	4864	24438
166	4893	24407
167	4923	24380
168	4951	24346
